DATAFLOW,POP_COMP: Population Component,REGION_TYPE: Region Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,102011040: Umina - Booker Bay - Patonga,A: Annual,2022,24845,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,102011040: Umina - Booker Bay - Patonga,A: Annual,2023,24919,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,102021056: Warnervale - Wadalba,A: Annual,2022,20973,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,102021056: Warnervale - Wadalba,A: Annual,2023,21707,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,115021297: Dural - Kenthurst - Wisemans Ferry,A: Annual,2022,22550,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,115021297: Dural - Kenthurst - Wisemans Ferry,A: Annual,2023,22778,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,116011561: Blacktown - West,A: Annual,2022,17300,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,116011561: Blacktown - West,A: Annual,2023,17538,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,116031316: Lethbridge Park - Tregear,A: Annual,2022,21918,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,116031316: Lethbridge Park - Tregear,A: Annual,2023,22239,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,117021637: Marrickville - South,A: Annual,2022,14191,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,117021637: Marrickville - South,A: Annual,2023,14397,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,117031648: Zetland,A: Annual,2022,13362,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,117031648: Zetland,A: Annual,2023,13968,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,118021567: Maroubra - South,A: Annual,2022,11176,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,118021567: Maroubra - South,A: Annual,2023,11422,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,120031393: Croydon Park - Enfield,A: Annual,2022,17432,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,120031393: Croydon Park - Enfield,A: Annual,2023,17835,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,210011227: Essendon Airport,A: Annual,2022,14,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,210011227: Essendon Airport,A: Annual,2023,14,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,211041269: Forest Hill,A: Annual,2022,10867,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,211041269: Forest Hill,A: Annual,2023,11023,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,211051285: Wandin - Seville,A: Annual,2022,7950,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,211051285: Wandin - Seville,A: Annual,2023,7989,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,212021453: Endeavour Hills - North,A: Annual,2022,12077,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,212021453: Endeavour Hills - North,A: Annual,2023,12048,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,212031558: Cranbourne East - South,A: Annual,2022,13665,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,212031558: Cranbourne East - South,A: Annual,2023,14472,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,212041565: Keysborough - North,A: Annual,2022,15006,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,212041565: Keysborough - North,A: Annual,2023,15119,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,213011331: Delahey,A: Annual,2022,8039,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,213011331: Delahey,A: Annual,2023,8019,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,213021345: Seabrook,A: Annual,2022,4867,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,213021345: Seabrook,A: Annual,2023,4926,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,213041571: Brookfield,A: Annual,2022,9976,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,213041571: Brookfield,A: Annual,2023,10167,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,317011448: Gatton,A: Annual,2022,8133,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,317011448: Gatton,A: Annual,2023,8436,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,319021509: Nanango,A: Annual,2022,10274,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,319021509: Nanango,A: Annual,2023,10490,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,319051523: Granville,A: Annual,2022,3105,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,319051523: Granville,A: Annual,2023,3137,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,401011002: North Adelaide,A: Annual,2022,6961,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,401011002: North Adelaide,A: Annual,2023,7231,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,401041016: Rostrevor - Magill,A: Annual,2022,24588,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,401041016: Rostrevor - Magill,A: Annual,2023,25273,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,402041041: Para Hills,A: Annual,2022,15222,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,402041041: Para Hills,A: Annual,2023,15304,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,801111140: ACT - South West,A: Annual,2022,557,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,801111140: ACT - South West,A: Annual,2023,555,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,112031254: Tweed Heads,A: Annual,2022,20770,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,112031254: Tweed Heads,A: Annual,2023,21016,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,123021438: Claymore - Eagle Vale - Raby,A: Annual,2022,20120,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,123021438: Claymore - Eagle Vale - Raby,A: Annual,2023,20308,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,124031707: Cranebrook - Castlereagh,A: Annual,2022,17099,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,124031707: Cranebrook - Castlereagh,A: Annual,2023,17255,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,125031487: Yennora Industrial,A: Annual,2022,13,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,125031487: Yennora Industrial,A: Annual,2023,13,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,203021487: Grovedale - Mount Duneed,A: Annual,2022,25830,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,203021487: Grovedale - Mount Duneed,A: Annual,2023,26663,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,204031075: Yackandandah,A: Annual,2022,5329,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,204031075: Yackandandah,A: Annual,2023,5455,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,205051100: Longford - Loch Sport,A: Annual,2022,4950,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,205051100: Longford - Loch Sport,A: Annual,2023,4966,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,206021500: Northcote - West,A: Annual,2022,10487,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,206021500: Northcote - West,A: Annual,2023,10731,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,206041504: Melbourne CBD - North,A: Annual,2022,18876,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,206041504: Melbourne CBD - North,A: Annual,2023,21566,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,207011147: Balwyn,A: Annual,2022,16319,PSNS: Persons,,
ABS:ERP_COMP_SA_ASGS2021(1.0.0),10: Estimated Resident Population,SA2: Statistical Area Level 2,207011147: Balwyn,A: Annual,2023,16725,PSNS: Persons,,
