OBJECTID,Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,Area in square kilometres,Uniform Resource Identifier,Personal income: Employee income earners (no.) (Data year: 2020),Personal income: Employee income earners: Median age (years) (Data year: 2020),Personal income: Total employee income ($m) (Data year: 2020),Personal income: Median employee income ($) (Data year: 2020),Personal income: Mean employee income ($) (Data year: 2020),Personal income: Employee income as main source of income (%) (Data year: 2020),Personal income: Own unincorporated business income earners (no.) (Data year: 2020),Personal income: Own unincorporated business income earners: Median age (years) (Data year: 2020),Personal income: Total own unincorporated business income ($m) (Data year: 2020),Personal income: Median own unincorporated business income ($) (Data year: 2020),Personal income: Mean own unincorporated business income ($) (Data year: 2020),Personal income: Own unincorporated business income as main source of income (%) (Data year: 2020),Personal income: Investment income earners (no.) (Data year: 2020),Personal income: Investment income earners: Median age (years) (Data year: 2020),Personal income: Total investment income ($m) (Data year: 2020),Personal income: Median investment income ($) (Data year: 2020),Personal income: Mean investment income ($) (Data year: 2020),Personal income: Investment income as main source of income (%) (Data year: 2020),Personal income: Superannuation and annuity income earners (no.) (Data year: 2020),Personal income: Superannuation and annuity income earners: Median age (years) (Data year: 2020),Personal income: Total superannuation and annuity income ($m) (Data year: 2020),Personal income: Median superannuation and annuity income ($) (Data year: 2020),Personal income: Mean superannuation and annuity income ($) (Data year: 2020),Personal income: Superannuation and annuity income as main source of income (%) (Data year: 2020),Personal income: Total income earners (excl. Government pensions and allowances)(no.) (Data year: 2020),Personal income: Total income earners (excl. Government pensions and allowances): Median age (years) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances) ($m) (Data year: 2020),Personal income: Median total income (excl. Government pensions and allowances) ($) (Data year: 2020),Personal income: Mean total income (excl. Government pensions and allowances) ($) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): p80/P20 ratio (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): p80/P50 ratio (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): p20/P50 ratio (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): p10/P50 ratio (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Gini coefficient (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Income share of top 1% of earners (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Income share of top 5% of earners (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Income share of top 10% of earners (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Lowest Quartile (%) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Second Quartile (%) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Third Quartile (%) (Data year: 2020),Personal income: Total income (excl. Government pensions and allowances): Highest Quartile (%) (Data year: 2020),Government pensions and allowances: Age pension (no.) (Data year: 2023),Government pensions and allowances: Carer payment (no.) (Data year: 2023),Government pensions and allowances: Carer allowance (no.) (Data year: 2023),Government pensions and allowances: Disability support pension (no.) (Data year: 2023),Government pensions and allowances: Jobseeker payment (no.) (Data year: 2023),Government pensions and allowances: Newstart allowance (no.) (Data year: 2019),Government pensions and allowances: Parenting payment: Single (no.) (Data year: 2023),Government pensions and allowances: Parenting payment: Partnered (no.) (Data year: 2023),Government pensions and allowances: Youth allowance (full time students/apprentices) (no.) (Data year: 2023),Government pensions and allowances: Youth allowance (other) (no.) (Data year: 2023),Government pensions and allowances: Family tax benefit A (no.) (Data year: 2023),Government pensions and allowances: Family tax benefit B (no.) (Data year: 2023),Government pensions and allowances: Commonwealth rent assistance (no.) (Data year: 2023),Total personal income: Persons earning $1-$499 per week (%) (Data year: 2021),Total personal income: Persons earning $500-$999 per week (%) (Data year: 2021),Total personal income: Persons earning $1000-$1999 per week (%) (Data year: 2021),Total personal income: Persons earning $2000-$2999 per week (%) (Data year: 2021),Total personal income: Persons earning $3000 or more per week (%) (Data year: 2021),Total personal income: Persons earning nil income (%) (Data year: 2021),Total personal income: Persons with a negative income (%) (Data year: 2021),Total personal income: Income inadequately described/not stated (%) (Data year: 2021),Median equivalised total household income (weekly) ($) (Data year: 2021),Equivalised total household income: $1-$499 per week (%) (Data year: 2021),Equivalised total household income: $500-$999 per week (%) (Data year: 2021),Equivalised total household income: $1000-$1999 per week (%) (Data year: 2021),Equivalised total household income: $2000-$2999 per week (%) (Data year: 2021),Equivalised total household income: $3000 or more per week (%) (Data year: 2021),Equivalised total household income: Nil income (%) (Data year: 2021),Equivalised total household income: Partial income stated (%) (Data year: 2021),Equivalised total household income: All incomes not stated (%) (Data year: 2021),globalid,Shape__Area,Shape__Length
1,101021007,Braidwood,3418.3525,https://linked.data.gov.au/dataset/asgsed3/SA2/101021007,1921,45,124.2,53848,64675,64.4,750,56,2.8,2856,3764,12.4,1702,54,13.3,338,7802,16.4,187,63,6.5,29202,34830,5.9,2426,50,149.8,44246,61745,7.73,2.08,0.27,0.06,0.574,15.2,27.2,38.1,32.5,23.8,21.7,22.1,508,58,78,138,128,109,28,6,6,9,218,158,148,26,22.2,24,7.6,4.2,5.2,1.2,9.7,952,18,29.5,28.8,9.7,5,1.5,5.5,1.7,e365687f-4ab1-4d69-b540-e5ae7c9dc98c,0.339397031774297,3.9136945523189
2,101021008,Karabar,6.9825,https://linked.data.gov.au/dataset/asgsed3/SA2/101021008,4910,39,329.3,63947,67058,84.6,424,47,10.1,12345,23864,4.1,3164,46,12,97,3781,6,398,62,15.1,31794,38018,5,5128,42,345.3,62946,67345,3.26,1.55,0.47,0.22,0.363,4.4,14.3,24,17.1,22.3,33.3,27.4,752,76,202,296,252,191,102,16,16,26,452,382,296,20,20.2,33.2,9,3.3,6.6,0.7,7.1,1220,13.8,20.2,40.8,12.6,4.2,1.6,5.5,1.7,d8024515-cf11-496d-a04d-cc4a25582f77,0.000692573728883872,0.138641955178276
3,101021009,Queanbeyan,4.762,https://linked.data.gov.au/dataset/asgsed3/SA2/101021009,6536,38,438.5,63627,67087,85.5,665,42,11.8,8762,17795,4.3,4162,42,17.1,68,4103,5.8,434,63,16.8,29574,38751,4,6778,39,456,61724,67276,3.2,1.58,0.49,0.26,0.366,4.7,14.8,24.4,16.3,24,33,26.8,1062,63,163,402,302,234,73,14,19,33,413,342,582,18.4,22.7,33.7,9.8,3.1,5.2,0.5,6.7,1206,12.8,22.5,42,13,4.2,1.4,3,1.3,d963dde4-1b46-4627-8643-cc156d3cb3e6,0.000472213489501883,0.107150167045914
4,101021010,Queanbeyan - East,13.0032,https://linked.data.gov.au/dataset/asgsed3/SA2/101021010,3136,37,219.1,65520,69857,82.4,310,42,6.1,10253,19827,3.7,2174,43,16,95,7341,8,265,63,11,34425,41464,5.4,3360,40,241.1,64010,71770,3.43,1.63,0.47,0.25,0.383,5.5,16.2,26.1,15.9,22.3,32.5,29.3,342,23,72,142,115,92,45,,7,7,215,175,252,15.8,20.4,37.3,10.3,4.4,5.3,0.6,5.9,1297,10.9,20.6,43.6,13.8,5.5,0.9,3.6,1.2,3a80dcb7-bb19-40d1-a5e7-fce0822b39a2,0.00128950462976718,0.189549072509046
5,101021012,Queanbeyan West - Jerrabomberra,13.6748,https://linked.data.gov.au/dataset/asgsed3/SA2/101021012,7997,41,669.6,75396,83732,83.2,718,48,26.1,11447,36386,3.6,5900,46,45.4,126,7691,7.7,731,60,32.7,38205,44689,5.1,8381,44,739.7,75987,88257,3.82,1.69,0.44,0.22,0.411,6.4,17.7,28.1,15,17.5,25.6,41.9,557,41,177,151,131,83,67,11,15,5,361,281,201,14.8,14.9,31.9,16.7,10.9,6.5,0.3,4,1728,5.2,12.7,39.3,23.8,12,0.9,5.2,1,4de27268-5567-4eba-a194-24f5d3c5cdae,0.00135637772473274,0.193368205885427
8,101031013,Bombala,3990.144,https://linked.data.gov.au/dataset/asgsed3/SA2/101031013,1200,41,65.9,49131,54887,72,460,56,6.9,6093,15031,14.5,955,53,6.1,211,6436,10.8,43,60,0.9,13021,21707,2,1404,49,77,46495,54848,5.1,1.88,0.37,0.1,0.486,6.5,19,30,27,28,25,20,347,37,67,112,72,66,19,,,8,122,102,112,26,25.7,24.2,4.4,2.1,5.3,1.2,10.8,854,23.8,30,27.8,6.4,3,2.2,3.9,2.9,b16d5208-d8e0-4995-933f-8e650be85292,0.403289729711105,4.56417878533804
9,101031014,Cooma,103.6371,https://linked.data.gov.au/dataset/asgsed3/SA2/101031014,3423,40,190.5,49169,55656,75.3,653,53,12.4,10107,19029,8.6,2397,52,16.8,166,7021,11.5,215,65,6.6,26331,30725,4,3776,46,215,48615,56939,4.55,1.81,0.4,0.16,0.436,5.8,17.4,28.2,25.2,29.1,25.8,19.9,967,68,157,298,197,245,67,15,15,,357,278,487,24.3,24.6,24.5,6.6,3,5.1,0.9,11.1,926,19.6,28.9,31,7.9,3.7,1.7,4.3,2.9,0b1a8199-704f-450b-93f0-0c51182b8d18,0.0103915514400796,0.544648747438203
10,101031015,Cooma Surrounds,6251.0158,https://linked.data.gov.au/dataset/asgsed3/SA2/101031015,1650,45,97.5,51540,59111,66.9,683,53,4,2822,5851,13.3,1441,52,10.5,264,7266,14.4,136,61,4,23945,29223,4.5,2056,50,112.2,46044,54552,6.68,1.89,0.28,0.06,0.524,6.9,20.4,32,29.8,25.2,25.4,19.6,398,26,66,88,88,66,13,5,5,5,138,88,58,24.4,21,26.8,6.3,4.4,6.3,0.7,10.4,987,17.9,25.9,30.4,9.5,5.2,2.4,6.6,2,06f48843-47f1-49a9-82a2-c46f1b41e5cc,0.625820037289486,7.16623669328738
11,101031016,Jindabyne - Berridale,3939.7888,https://linked.data.gov.au/dataset/asgsed3/SA2/101031016,4422,39,229.6,41441,51917,76.1,1070,50,15.5,8389,14525,10.5,3064,47,29.6,204,9654,11.3,111,61,4.4,25749,39361,1.7,4609,44,261.6,45128,56759,4.68,1.86,0.4,0.19,0.481,8.9,21.4,32.6,27.5,30.1,24,18.4,488,21,58,88,118,100,21,8,14,5,255,158,195,17.3,27.8,29.8,6.8,4.4,4.8,0.5,8.5,1174,12.1,23.4,40.5,10,4.4,1.3,6.7,1.4,e76cedcb-0c7f-470a-a6aa-2ccd27ca51f8,0.396245858785278,4.70611866523194
12,101041017,Batemans Bay,63.7073,https://linked.data.gov.au/dataset/asgsed3/SA2/101041017,3378,43,150.9,39412,44672,67.3,679,52,14.3,15060,21048,9.9,2650,57,18.1,218,6831,15.8,346,66,11.9,27646,34466,6.2,4182,50,188.9,38705,45174,5.67,1.81,0.32,0.1,0.466,6,18.7,29.9,34.1,31.2,23.6,11.2,1698,153,323,518,453,407,138,22,13,48,548,443,773,32.2,28.3,19.4,2.9,1.5,5.8,0.8,9.1,744,25.7,35.7,24.9,3.7,1.7,1.6,3.8,2.7,96b7bee9-c862-41bc-911e-5d30baa4a748,0.0063444851798522,0.729298705721707
